group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
crack_hashes SHA256,,,,,1667625.0,ns,1
crack_hashes SHA256,,,,,3325583.0,ns,2
crack_hashes SHA256,,,,,5008000.0,ns,3
crack_hashes SHA256,,,,,6949000.0,ns,4
crack_hashes SHA256,,,,,8319416.0,ns,5
crack_hashes SHA256,,,,,10005541.0,ns,6
crack_hashes SHA256,,,,,11587125.0,ns,7
crack_hashes SHA256,,,,,13218416.0,ns,8
crack_hashes SHA256,,,,,14762750.0,ns,9
crack_hashes SHA256,,,,,16583792.0,ns,10
crack_hashes SHA256,,,,,18042500.0,ns,11
crack_hashes SHA256,,,,,19876667.0,ns,12
crack_hashes SHA256,,,,,21289500.0,ns,13
crack_hashes SHA256,,,,,23329584.0,ns,14
crack_hashes SHA256,,,,,24889208.0,ns,15
crack_hashes SHA256,,,,,26490208.0,ns,16
crack_hashes SHA256,,,,,28261500.0,ns,17
crack_hashes SHA256,,,,,29893417.0,ns,18
crack_hashes SHA256,,,,,31502000.0,ns,19
crack_hashes SHA256,,,,,33356375.0,ns,20
crack_hashes SHA256,,,,,35155958.0,ns,21
crack_hashes SHA256,,,,,36920959.0,ns,22
crack_hashes SHA256,,,,,38267416.0,ns,23
crack_hashes SHA256,,,,,40488958.0,ns,24
crack_hashes SHA256,,,,,41553292.0,ns,25
crack_hashes SHA256,,,,,43294083.0,ns,26
crack_hashes SHA256,,,,,44834875.0,ns,27
crack_hashes SHA256,,,,,46378959.0,ns,28
crack_hashes SHA256,,,,,48245750.0,ns,29
crack_hashes SHA256,,,,,49712166.0,ns,30
crack_hashes SHA256,,,,,51316000.0,ns,31
crack_hashes SHA256,,,,,52853292.0,ns,32
crack_hashes SHA256,,,,,54435958.0,ns,33
crack_hashes SHA256,,,,,56524583.0,ns,34
crack_hashes SHA256,,,,,58028625.0,ns,35
crack_hashes SHA256,,,,,59502125.0,ns,36
crack_hashes SHA256,,,,,61522750.0,ns,37
crack_hashes SHA256,,,,,63319875.0,ns,38
crack_hashes SHA256,,,,,64219083.0,ns,39
crack_hashes SHA256,,,,,66032167.0,ns,40
crack_hashes SHA256,,,,,67515458.0,ns,41
crack_hashes SHA256,,,,,69453583.0,ns,42
crack_hashes SHA256,,,,,70592917.0,ns,43
crack_hashes SHA256,,,,,72962625.0,ns,44
crack_hashes SHA256,,,,,74593125.0,ns,45
crack_hashes SHA256,,,,,76057834.0,ns,46
crack_hashes SHA256,,,,,77795708.0,ns,47
crack_hashes SHA256,,,,,79348292.0,ns,48
crack_hashes SHA256,,,,,81507333.0,ns,49
crack_hashes SHA256,,,,,83282541.0,ns,50
crack_hashes SHA256,,,,,85276334.0,ns,51
crack_hashes SHA256,,,,,86542500.0,ns,52
crack_hashes SHA256,,,,,88590000.0,ns,53
crack_hashes SHA256,,,,,90143000.0,ns,54
crack_hashes SHA256,,,,,91968125.0,ns,55
crack_hashes SHA256,,,,,93701542.0,ns,56
crack_hashes SHA256,,,,,95081542.0,ns,57
crack_hashes SHA256,,,,,96974667.0,ns,58
crack_hashes SHA256,,,,,97519875.0,ns,59
crack_hashes SHA256,,,,,99522333.0,ns,60
crack_hashes SHA256,,,,,101033375.0,ns,61
crack_hashes SHA256,,,,,102733750.0,ns,62
crack_hashes SHA256,,,,,104268333.0,ns,63
crack_hashes SHA256,,,,,106633125.0,ns,64
crack_hashes SHA256,,,,,108683708.0,ns,65
crack_hashes SHA256,,,,,110120542.0,ns,66
crack_hashes SHA256,,,,,111467667.0,ns,67
crack_hashes SHA256,,,,,112818708.0,ns,68
crack_hashes SHA256,,,,,114613292.0,ns,69
crack_hashes SHA256,,,,,116555291.0,ns,70
crack_hashes SHA256,,,,,118451542.0,ns,71
crack_hashes SHA256,,,,,120256833.0,ns,72
crack_hashes SHA256,,,,,121880750.0,ns,73
crack_hashes SHA256,,,,,123360125.0,ns,74
crack_hashes SHA256,,,,,124222375.0,ns,75
crack_hashes SHA256,,,,,126394875.0,ns,76
crack_hashes SHA256,,,,,128976834.0,ns,77
crack_hashes SHA256,,,,,129969459.0,ns,78
crack_hashes SHA256,,,,,131900333.0,ns,79
crack_hashes SHA256,,,,,132805916.0,ns,80
crack_hashes SHA256,,,,,133690333.0,ns,81
crack_hashes SHA256,,,,,135990584.0,ns,82
crack_hashes SHA256,,,,,137411458.0,ns,83
crack_hashes SHA256,,,,,140044833.0,ns,84
crack_hashes SHA256,,,,,142265250.0,ns,85
crack_hashes SHA256,,,,,144242625.0,ns,86
crack_hashes SHA256,,,,,146618500.0,ns,87
crack_hashes SHA256,,,,,148484250.0,ns,88
crack_hashes SHA256,,,,,149925542.0,ns,89
crack_hashes SHA256,,,,,152338083.0,ns,90
crack_hashes SHA256,,,,,152571708.0,ns,91
crack_hashes SHA256,,,,,154709083.0,ns,92
crack_hashes SHA256,,,,,154668500.0,ns,93
crack_hashes SHA256,,,,,155984375.0,ns,94
crack_hashes SHA256,,,,,157981500.0,ns,95
crack_hashes SHA256,,,,,159953458.0,ns,96
crack_hashes SHA256,,,,,161180583.0,ns,97
crack_hashes SHA256,,,,,162929750.0,ns,98
crack_hashes SHA256,,,,,164056833.0,ns,99
crack_hashes SHA256,,,,,165201834.0,ns,100
