group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
crack_hashes,,,,,1646583.0,ns,1
crack_hashes,,,,,3276250.0,ns,2
crack_hashes,,,,,4906042.0,ns,3
crack_hashes,,,,,6602667.0,ns,4
crack_hashes,,,,,8337875.0,ns,5
crack_hashes,,,,,9826375.0,ns,6
crack_hashes,,,,,11643542.0,ns,7
crack_hashes,,,,,13212125.0,ns,8
crack_hashes,,,,,14872375.0,ns,9
crack_hashes,,,,,16458625.0,ns,10
crack_hashes,,,,,18151583.0,ns,11
crack_hashes,,,,,19972709.0,ns,12
crack_hashes,,,,,21456750.0,ns,13
crack_hashes,,,,,23002833.0,ns,14
crack_hashes,,,,,24770542.0,ns,15
crack_hashes,,,,,26489208.0,ns,16
crack_hashes,,,,,28049709.0,ns,17
crack_hashes,,,,,29613291.0,ns,18
crack_hashes,,,,,31416834.0,ns,19
crack_hashes,,,,,33106542.0,ns,20
crack_hashes,,,,,34649375.0,ns,21
crack_hashes,,,,,36585541.0,ns,22
crack_hashes,,,,,37961334.0,ns,23
crack_hashes,,,,,39562792.0,ns,24
crack_hashes,,,,,41165708.0,ns,25
crack_hashes,,,,,42717375.0,ns,26
crack_hashes,,,,,44464625.0,ns,27
crack_hashes,,,,,46071958.0,ns,28
crack_hashes,,,,,47756500.0,ns,29
crack_hashes,,,,,49613583.0,ns,30
crack_hashes,,,,,51172834.0,ns,31
crack_hashes,,,,,52719375.0,ns,32
crack_hashes,,,,,54330083.0,ns,33
crack_hashes,,,,,55865833.0,ns,34
crack_hashes,,,,,57257209.0,ns,35
crack_hashes,,,,,59194750.0,ns,36
crack_hashes,,,,,60866875.0,ns,37
crack_hashes,,,,,62362209.0,ns,38
crack_hashes,,,,,63946375.0,ns,39
crack_hashes,,,,,65932625.0,ns,40
crack_hashes,,,,,68005250.0,ns,41
crack_hashes,,,,,69485333.0,ns,42
crack_hashes,,,,,70763042.0,ns,43
crack_hashes,,,,,72586958.0,ns,44
crack_hashes,,,,,74382333.0,ns,45
crack_hashes,,,,,75804542.0,ns,46
crack_hashes,,,,,77449208.0,ns,47
crack_hashes,,,,,78919292.0,ns,48
crack_hashes,,,,,80098708.0,ns,49
crack_hashes,,,,,82277250.0,ns,50
crack_hashes,,,,,83629125.0,ns,51
crack_hashes,,,,,85290292.0,ns,52
crack_hashes,,,,,87082583.0,ns,53
crack_hashes,,,,,88945625.0,ns,54
crack_hashes,,,,,90913500.0,ns,55
crack_hashes,,,,,92699125.0,ns,56
crack_hashes,,,,,94011709.0,ns,57
crack_hashes,,,,,109450250.0,ns,58
crack_hashes,,,,,99610667.0,ns,59
crack_hashes,,,,,99753208.0,ns,60
crack_hashes,,,,,100975500.0,ns,61
crack_hashes,,,,,102349250.0,ns,62
crack_hashes,,,,,103986041.0,ns,63
crack_hashes,,,,,106471750.0,ns,64
crack_hashes,,,,,107386542.0,ns,65
crack_hashes,,,,,109462875.0,ns,66
crack_hashes,,,,,111249708.0,ns,67
crack_hashes,,,,,112429084.0,ns,68
crack_hashes,,,,,113778250.0,ns,69
crack_hashes,,,,,115178250.0,ns,70
crack_hashes,,,,,117342208.0,ns,71
crack_hashes,,,,,119438625.0,ns,72
crack_hashes,,,,,121088958.0,ns,73
crack_hashes,,,,,122317708.0,ns,74
crack_hashes,,,,,124059834.0,ns,75
crack_hashes,,,,,124942166.0,ns,76
crack_hashes,,,,,127358667.0,ns,77
crack_hashes,,,,,128144458.0,ns,78
crack_hashes,,,,,130041084.0,ns,79
crack_hashes,,,,,132062000.0,ns,80
crack_hashes,,,,,133632208.0,ns,81
crack_hashes,,,,,134946708.0,ns,82
crack_hashes,,,,,136478250.0,ns,83
crack_hashes,,,,,138364625.0,ns,84
crack_hashes,,,,,140274625.0,ns,85
crack_hashes,,,,,142126875.0,ns,86
crack_hashes,,,,,144043916.0,ns,87
crack_hashes,,,,,145772625.0,ns,88
crack_hashes,,,,,146371000.0,ns,89
crack_hashes,,,,,148297500.0,ns,90
crack_hashes,,,,,149830209.0,ns,91
crack_hashes,,,,,151992084.0,ns,92
crack_hashes,,,,,154504167.0,ns,93
crack_hashes,,,,,155356458.0,ns,94
crack_hashes,,,,,156953917.0,ns,95
crack_hashes,,,,,158371708.0,ns,96
crack_hashes,,,,,159850625.0,ns,97
crack_hashes,,,,,161985042.0,ns,98
crack_hashes,,,,,163377667.0,ns,99
crack_hashes,,,,,164566250.0,ns,100
